lon,x_m_from_west,skyline_elevation_m
113.90974272,8724.800,656.554
113.90991450,8742.497,659.615
113.91008627,8760.194,662.519
113.91025804,8777.892,665.266
113.91042981,8795.589,667.858
113.91060159,8813.287,670.299
113.91077336,8830.984,672.594
113.91094513,8848.681,674.750
113.91111691,8866.379,676.777
113.91128868,8884.076,678.687
113.91146045,8901.773,680.492
113.91163223,8919.471,682.205
113.91180400,8937.168,683.843
113.91197577,8954.865,685.421
113.91214755,8972.563,686.958
113.91231932,8990.260,688.472
113.91249109,9007.958,689.981
113.91266287,9025.655,691.506
113.91283464,9043.352,693.067
113.91300641,9061.050,694.685
113.91317819,9078.747,696.377
113.91334996,9096.444,698.162
113.91352173,9114.142,700.058
113.91369351,9131.839,702.080
113.91386528,9149.536,704.246
113.91403705,9167.234,706.568
113.91420883,9184.931,709.061
113.91438060,9202.629,711.736
113.91455237,9220.326,714.602
113.91472414,9238.023,717.665
113.91489592,9255.721,720.929
113.91506769,9273.418,724.393
113.91523946,9291.115,728.055
113.91541124,9308.813,731.907
113.91558301,9326.510,735.940
113.91575478,9344.207,740.143
113.91592656,9361.905,744.500
113.91609833,9379.602,748.995
113.91627010,9397.300,753.606
113.91644188,9414.997,758.313
113.91661365,9432.694,763.092
113.91678542,9450.392,767.918
113.91695720,9468.089,772.765
113.91712897,9485.786,777.604
113.91730074,9503.484,782.407
113.91747252,9521.181,787.146
113.91764429,9538.878,791.791
113.91781606,9556.576,796.313
113.91798784,9574.273,800.682
113.91815961,9591.970,804.872
113.91833138,9609.668,808.855
113.91850316,9627.365,812.605
113.91867493,9645.063,816.096
113.91884670,9662.760,819.306
113.91901848,9680.457,822.214
113.91919025,9698.155,824.800
113.91936202,9715.852,827.048
113.91953379,9733.549,828.943
113.91970557,9751.247,830.475
113.91987734,9768.944,831.638
113.92004911,9786.641,832.426
113.92022089,9804.339,832.840
113.92039266,9822.036,832.884
113.92056443,9839.734,832.564
113.92073621,9857.431,831.889
113.92090798,9875.128,830.869
113.92107975,9892.826,829.520
113.92125153,9910.523,827.858
113.92142330,9928.220,825.899
113.92159507,9945.918,823.661
113.92176685,9963.615,821.163
113.92193862,9981.312,818.422
113.92211039,9999.010,815.460
113.92228217,10016.707,812.295
113.92245394,10034.405,808.945
113.92262571,10052.102,805.431
113.92279749,10069.799,801.768
113.92296926,10087.497,797.974
113.92314103,10105.194,794.065
113.92331281,10122.891,790.057
113.92348458,10140.589,785.963
113.92365635,10158.286,781.798
113.92382812,10175.983,777.575
113.92399990,10193.681,773.308
113.92417167,10211.378,769.007
113.92434344,10229.076,764.684
113.92451522,10246.773,760.352
113.92468699,10264.470,756.019
113.92485876,10282.168,751.693
113.92503054,10299.865,747.384
113.92520231,10317.562,743.096
113.92537408,10335.260,738.837
113.92554586,10352.957,734.612
113.92571763,10370.654,730.425
113.92588940,10388.352,726.277
113.92606118,10406.049,722.169
113.92623295,10423.747,718.102
113.92640472,10441.444,714.075
113.92657650,10459.141,710.085
113.92674827,10476.839,706.130
113.92692004,10494.536,702.206
113.92709182,10512.233,698.307
113.92726359,10529.931,694.426
113.92743536,10547.628,690.557
113.92760714,10565.325,686.693
113.92777891,10583.023,682.828
113.92795068,10600.720,678.955
113.92812246,10618.418,675.070
113.92829423,10636.115,671.170
113.92846600,10653.812,667.250
113.92863777,10671.510,663.309
113.92880955,10689.207,659.343
113.92898132,10706.904,655.353
113.92915309,10724.602,651.336
113.92932487,10742.299,647.293
113.92949664,10759.996,643.223
113.92966841,10777.694,639.127
113.92984019,10795.391,635.006
113.93001196,10813.089,630.859
113.93018373,10830.786,626.687
113.93035551,10848.483,622.490
113.93052728,10866.181,618.266
113.93069905,10883.878,614.016
113.93087083,10901.575,609.741
113.93104260,10919.273,605.442
113.93121437,10936.970,601.120
113.93138615,10954.667,596.778
113.93155792,10972.365,592.420
113.93172969,10990.062,588.051
113.93190147,11007.760,583.677
113.93207324,11025.457,579.304
113.93224501,11043.154,574.936
113.93241679,11060.852,570.581
113.93258856,11078.549,566.244
113.93276033,11096.246,561.930
113.93293211,11113.944,557.643
113.93310388,11131.641,553.386
113.93327565,11149.338,549.163
113.93344742,11167.036,544.976
113.93361920,11184.733,540.827
113.93379097,11202.430,536.715
113.93396274,11220.128,532.644
113.93413452,11237.825,528.611
113.93430629,11255.523,524.616
113.93447806,11273.220,520.657
113.93464984,11290.917,516.732
113.93482161,11308.615,512.838
113.93499338,11326.312,508.976
113.93516516,11344.009,505.144
113.93533693,11361.707,501.340
113.93550870,11379.404,497.563
113.93568048,11397.101,493.813
113.93585225,11414.799,490.090
113.93602402,11432.496,486.396
113.93619580,11450.194,482.729
113.93636757,11467.891,479.091
113.93653934,11485.588,475.480
113.93671112,11503.286,471.896
113.93688289,11520.983,468.338
113.93705466,11538.680,464.808
113.93722644,11556.378,461.307
113.93739821,11574.075,457.835
113.93756998,11591.772,454.396
113.93774175,11609.470,450.993
113.93791353,11627.167,447.632
113.93808530,11644.865,444.318
113.93825707,11662.562,441.058
113.93842885,11680.259,437.858
113.93860062,11697.957,434.725
113.93877239,11715.654,431.667
113.93894417,11733.351,428.692
113.93911594,11751.049,425.813
113.93928771,11768.746,423.040
113.93945949,11786.443,420.388
113.93963126,11804.141,417.871
113.93980303,11821.838,415.501
113.93997481,11839.536,413.296
113.94014658,11857.233,411.273
113.94031835,11874.930,409.447
113.94049013,11892.628,407.837
113.94066190,11910.325,406.461
113.94083367,11928.022,405.334
113.94100545,11945.720,404.473
113.94117722,11963.417,403.895
113.94134899,11981.114,403.615
113.94152077,11998.812,403.647
113.94169254,12016.509,404.004
113.94186431,12034.207,404.700
113.94203609,12051.904,405.744
113.94220786,12069.601,407.148
113.94237963,12087.299,408.921
113.94255140,12104.996,411.069
113.94272318,12122.693,413.599
113.94289495,12140.391,416.515
113.94306672,12158.088,419.822
113.94323850,12175.785,423.525
113.94341027,12193.483,427.626
113.94358204,12211.180,432.125
113.94375382,12228.878,437.020
113.94392559,12246.575,442.310
113.94409736,12264.272,447.991
113.94426914,12281.970,454.054
113.94444091,12299.667,460.494
113.94461268,12317.364,467.297
113.94478446,12335.062,474.451
113.94495623,12352.759,481.941
113.94512800,12370.456,489.750
113.94529978,12388.154,497.860
113.94547155,12405.851,506.250
113.94564332,12423.549,514.901
113.94581510,12441.246,523.790
113.94598687,12458.943,532.893
113.94615864,12476.641,542.185
113.94633042,12494.338,551.643
113.94650219,12512.035,561.238
113.94667396,12529.733,570.944
113.94684573,12547.430,580.735
113.94701751,12565.127,590.582
113.94718928,12582.825,600.461
113.94736105,12600.522,610.345
113.94753283,12618.219,620.210
113.94770460,12635.917,630.030
113.94787637,12653.614,639.780
113.94804815,12671.312,649.437
113.94821992,12689.009,658.975
113.94839169,12706.706,668.371
113.94856347,12724.404,677.604
113.94873524,12742.101,686.653
113.94890701,12759.798,695.499
113.94907879,12777.496,704.125
113.94925056,12795.193,712.517
113.94942233,12812.890,720.659
113.94959411,12830.588,728.540
113.94976588,12848.285,736.149
113.94993765,12865.983,743.474
113.95010943,12883.680,750.505
113.95028120,12901.377,757.234
113.95045297,12919.075,763.652
113.95062475,12936.772,769.750
113.95079652,12954.469,775.523
113.95096829,12972.167,780.964
113.95114007,12989.864,786.066
113.95131184,13007.561,790.827
113.95148361,13025.259,795.243
113.95165538,13042.956,799.313
113.95182716,13060.654,803.038
113.95199893,13078.351,806.415
113.95217070,13096.048,809.447
113.95234248,13113.746,812.133
113.95251425,13131.443,814.474
113.95268602,13149.140,816.475
113.95285780,13166.838,818.138
113.95302957,13184.535,819.469
113.95320134,13202.232,820.474
113.95337312,13219.930,821.161
113.95354489,13237.627,821.537
113.95371666,13255.325,821.613
113.95388844,13273.022,821.399
113.95406021,13290.719,820.905
113.95423198,13308.417,820.144
113.95440376,13326.114,819.128
113.95457553,13343.811,817.869
113.95474730,13361.509,816.382
113.95491908,13379.206,814.681
113.95509085,13396.903,812.782
113.95526262,13414.601,810.699
113.95543440,13432.298,808.449
113.95560617,13449.996,806.048
113.95577794,13467.693,803.513
113.95594971,13485.390,800.858
113.95612149,13503.088,798.098
113.95629326,13520.785,795.248
113.95646503,13538.482,792.323
113.95663681,13556.180,789.338
113.95680858,13573.877,786.308
113.95698035,13591.574,783.248
113.95715213,13609.272,780.173
113.95732390,13626.969,777.098
113.95749567,13644.667,774.038
113.95766745,13662.364,771.008
113.95783922,13680.061,768.021
113.95801099,13697.759,765.090
113.95818277,13715.456,762.226
113.95835454,13733.153,759.439
113.95852631,13750.851,756.736
113.95869809,13768.548,754.126
113.95886986,13786.245,751.614
113.95904163,13803.943,749.207
113.95921341,13821.640,746.909
113.95938518,13839.338,744.725
113.95955695,13857.035,742.658
113.95972873,13874.732,740.708
113.95990050,13892.430,738.878
113.96007227,13910.127,737.164
113.96024405,13927.824,735.564
113.96041582,13945.522,734.073
113.96058759,13963.219,732.686
113.96075936,13980.916,731.392
113.96093114,13998.614,730.184
113.96110291,14016.311,729.052
113.96127468,14034.008,727.987
113.96144646,14051.706,726.981
113.96161823,14069.403,726.025
113.96179000,14087.101,725.111
113.96196178,14104.798,724.231
113.96213355,14122.495,723.377
113.96230532,14140.193,722.543
113.96247710,14157.890,721.723
113.96264887,14175.587,720.913
113.96282064,14193.285,720.108
113.96299242,14210.982,719.305
113.96316419,14228.679,718.500
113.96333596,14246.377,717.691
113.96350774,14264.074,716.877
113.96367951,14281.772,716.059
113.96385128,14299.469,715.238
113.96402306,14317.166,714.417
113.96419483,14334.864,713.597
113.96436660,14352.561,712.784
113.96453838,14370.258,711.982
113.96471015,14387.956,711.198
113.96488192,14405.653,710.438
113.96505370,14423.350,709.710
113.96522547,14441.048,709.020
113.96539724,14458.745,708.371
113.96556901,14476.443,707.763
113.96574079,14494.140,707.197
113.96591256,14511.837,706.673
113.96608433,14529.535,706.188
113.96625611,14547.232,705.741
113.96642788,14564.929,705.327
113.96659965,14582.627,704.943
113.96677143,14600.324,704.581
113.96694320,14618.021,704.238
113.96711497,14635.719,703.906
113.96728675,14653.416,703.581
113.96745852,14671.114,703.255
113.96763029,14688.811,702.919
113.96780207,14706.508,702.564
113.96797384,14724.206,702.178
113.96814561,14741.903,701.748
113.96831739,14759.600,701.263
113.96848916,14777.298,700.708
113.96866093,14794.995,700.070
113.96883271,14812.692,699.335
113.96900448,14830.390,698.492
113.96917625,14848.087,697.527
113.96934803,14865.785,696.428
113.96951980,14883.482,695.186
113.96969157,14901.179,693.786
113.96986334,14918.877,692.219
113.97003512,14936.574,690.471
113.97020689,14954.271,688.532
113.97037866,14971.969,686.390
113.97055044,14989.666,684.033
113.97072221,15007.363,681.452
113.97089398,15025.061,678.636
113.97106576,15042.758,675.576
113.97123753,15060.456,672.264
113.97140930,15078.153,668.692
113.97158108,15095.850,664.857
113.97175285,15113.548,660.756
113.97192462,15131.245,656.388
113.97209640,15148.942,651.755
113.97226817,15166.640,646.860
113.97243994,15184.337,641.706
113.97261172,15202.034,636.299
113.97278349,15219.732,630.646
113.97295526,15237.429,624.753
113.97312704,15255.127,618.631
113.97329881,15272.824,612.292
113.97347058,15290.521,605.748
113.97364236,15308.219,599.014
113.97381413,15325.916,592.105
113.97398590,15343.613,585.037
113.97415768,15361.311,577.826
113.97432945,15379.008,570.484
113.97450122,15396.705,563.026
113.97467299,15414.403,555.467
113.97484477,15432.100,547.819
113.97501654,15449.797,540.096
113.97518831,15467.495,532.310
113.97536009,15485.192,524.473
113.97553186,15502.890,516.595
113.97570363,15520.587,508.687
